"Назва","Чистий процентний дохід/(Чисті процентні витрати)","Усього власного капіталу","Кошти клієнтів","Кредити та заборгованість клієнтів","Загальні активи, усього"
"АТ ""ПЕРШИЙ ІНВЕСТИЦІЙНИЙ БАНК""","104,108","350,759","1,308,284","399,786","1,892,600"
"АТ ""Місто Банк""","-30,577","216,858","1,005,654","251,639","1,833,656"
"АТ ""КРИСТАЛБАНК""","124,961","279,684","1,332,968","348,903","1,746,362"
"АТ ""БАНК ""ГРАНТ""","134,257","581,128","891,363","700,303","1,544,329"
"АТ ""КІБ""","93,996","250,952","1,173,712","718,273","1,475,788"
"АТ ""АЛЬТБАНК""","49,215","241,801","1,069,999","146,615","1,364,444"
"АТ ""КОМІНВЕСТБАНК""","31,588","310,357","918,644","220,454","1,304,074"
"АТ ""АЙБОКС БАНК""","59,631","235,338","663,353","352,814","1,269,805"
"АТ ""МОТОР-БАНК""","83,244","332,134","880,730","340,438","1,230,834"
"АТ ""УКРБУДІНВЕСТБАНК""","54,671","220,603","889,016","358,749","1,224,521"
"АТ ""АП БАНК""","100,554","339,900","455,116","461,632","1,140,583"
"АТ ""РВС БАНК""","29,396","220,222","767,480","183,177","1,110,607"
"АТ ""АСВІО БАНК""","84,637","448,955","543,419","369,548","1,103,288"
"АТ ""ЮНЕКС БАНК""","106,033","277,912","633,296","213,521","1,081,987"
"АТ ""БАНК ""УКРАЇНСЬКИЙ КАПІТАЛ""","38,285","279,991","703,935","267,488","1,081,681"
"АТ ""БАНК АВАНГАРД""","80,725","333,164","394,670","103,116","1,050,654"
"АТ ""БАНК 3/4""","89,229","521,206","191,450","292,021","956,290"
"АТ ""МетаБанк""","61,815","319,558","592,375","410,416","954,766"
"АТ ""КБ ""ЗЕМЕЛЬНИЙ КАПІТАЛ""","67,625","263,103","517,294","587,616","799,637"
"Полікомбанк","40,523","264,967","374,765","296,466","728,013"
"АТ ""ЄПБ""","65,216","253,549","212,656","296,846","595,583"
"АТ ""СКАЙ БАНК""","9,029","159,008","270,807","124,563","562,810"
"АТ ""ОКСІ БАНК""","18,815","206,644","268,074","79,327","515,248"
"ПрАТ ""БАНК ФАМІЛЬНИЙ""","27,729","199,288","105,975","9,829","458,850"
"АТ ""БАНК ""ПОРТАЛ""","52,941","217,235","26,482","172,659","321,051"
"АТ ""БАНК ТРАСТ-КАПІТАЛ""","18,129","243,491","35,983","76,523","301,213"
"АТ ""АЛЬПАРІ БАНК""","35,821","214,983","19,874","31,143","244,259"
"АТ ""Український банк реконструкції та розвитку""","23,505","193,656","9,135","0","242,689"
"Банки з державною часткою","","","","",""
"АТ КБ ""ПриватБанк""","5,217,613","60,484,406","247,673,702","58,725,804","572,099,554"
"АТ ""Ощадбанк""","1,482,722","21,146,203","195,531,216","40,727,969","314,429,348"
"АТ ""Укрексімбанк""","325,986","4,513,417","85,036,024","17,152,347","217,523,691"
"АБ ""УКРГАЗБАНК""","881,077","7,786,490","116,073,018","19,375,764","140,626,317"
"ПАТ ""РОЗРАХУНКОВИЙ ЦЕНТР""","10,471","266,729","58,524","0","371,970"
"Усього по банках з державною часткою","7,917,869","94,197,245","644,372,484","135,981,884","1,245,050,880"
"Банки іноземних банківських груп","","","","",""
"АТ ""АЛЬФА-БАНК""","1,388,036","8,645,280","64,758,036","22,592,731","99,273,836"
"АТ ""Райффайзен Банк Аваль""","1,860,256","13,687,685","73,270,244","35,042,490","98,662,062"
"АТ ""СБЕРБАНК""","416,391","8,296,268","6,555,109","1,573,965","65,998,949"
"АТ ""УКРСИББАНК""","937,283","7,225,181","50,130,979","19,453,407","61,851,227"
"АТ ""ОТП БАНК""","950,995","8,200,450","38,849,114","18,798,561","54,215,401"
"АТ ""КРЕДІ АГРІКОЛЬ БАНК""","619,554","5,471,820","35,488,331","18,703,791","45,247,765"
"ПАТ ""Промінвестбанк""","106,026","3,169,417","49,199","957,318","42,289,270"
"АТ ""СІТІБАНК""","501,816","3,500,745","27,713,404","3,732,895","31,728,819"
"АТ ""ПРОКРЕДИТ БАНК""","326,853","4,098,666","15,977,204","10,898,340","26,215,528"
"АТ ""КРЕДОБАНК""","413,890","2,732,641","15,085,474","9,359,136","20,992,289"
"АТ ""ІНГ Банк Україна""","180,654","4,477,199","7,211,848","4,917,318","12,577,893"
"АТ ""Ідея Банк""","423,839","755,844","4,180,897","4,207,774","8,292,442"
"АТ ""ПРАВЕКС БАНК""","78,664","1,837,117","3,876,081","1,206,669","5,989,054"
"АТ ""ПІРЕУС БАНК МКБ""","50,646","636,743","2,254,697","755,811","3,371,176"
"АТ ""Дойче Банк ДБУ""","29,572","378,885","1,918,159","1,452,929","3,230,925"
"АТ ""БАНК ФОРВАРД""","72,823","356,202","1,811,866","1,302,577","2,420,385"
"АТ ""СЕБ КОРПОРАТИВНИЙ БАНК""","25,308","614,372","998,313","653,672","1,656,949"
"АТ ""КРЕДИТВЕСТ БАНК""","29,875","435,235","726,118","688,734","1,620,415"
"АТ ""КРЕДИТ ЄВРОПА БАНК""","21,392","404,690","271,069","128,390","1,004,083"
"АТ ""БТА БАНК""","7,698","327,791","99,759","29,605","518,308"
"Усього по банках іноземних банківських груп","8,441,571","75,252,231","351,225,898","156,456,113","587,156,778"
"Банки з приватним капіталом","","","","",""
"АТ ""ПУМБ""","1,722,446","9,522,714","47,758,680","23,217,271","68,489,366"
"Акціонерний банк ""Південний""","330,335","2,787,842","20,527,351","9,099,171","28,878,805"
"АТ ""УНІВЕРСАЛ БАНК""","502,872","1,847,688","17,711,716","9,912,385","23,330,681"
"АТ ""ТАСКОМБАНК""","317,400","2,683,988","15,984,458","6,955,062","20,787,507"
"АТ ""БАНК КРЕДИТ ДНІПРО""","96,031","976,512","8,533,448","2,160,803","13,188,131"
"ПАТ ""БАНК ВОСТОК""","176,131","920,767","10,113,806","4,097,060","12,366,704"
"АТ ""МЕГАБАНК""","32,005","763,176","6,514,745","2,484,505","10,311,256"
"АТ ""А - БАНК""","408,765","985,146","6,142,117","5,093,806","8,648,673"
"ПАТ ""МТБ БАНК""","73,553","791,508","4,853,136","1,428,446","6,077,793"
"АТ ""БАНК ІНВЕСТИЦІЙ ТА ЗАОЩАДЖЕНЬ""","44,215","565,185","3,640,014","1,497,043","5,113,576"
"АТ ""МІБ""","34,657","407,335","2,999,418","779,716","5,040,737"
"АКБ ""ІНДУСТРІАЛБАНК""","69,731","1,303,964","2,510,777","1,153,398","4,288,394"
"АТ ""БАНК АЛЬЯНС""","38,357","503,460","3,125,549","1,582,679","3,939,914"
"АТ ""КБ ""ГЛОБУС""","58,125","349,000","2,985,774","1,721,017","3,737,760"
"АТ АКБ ""Львів""","40,979","371,004","2,266,745","1,258,805","3,458,207"
"АБ ""КЛІРИНГОВИЙ ДІМ""","31,040","558,804","1,723,631","555,815","3,039,398"
"АТ ""Полтава-банк""","34,797","818,076","1,636,906","927,630","2,628,386"
"ПуАТ ""КБ ""АКОРДБАНК""","40,668","312,911","1,965,923","736,417","2,518,762"
"АТ ""КРИСТАЛБАНК""","29,870","281,344","1,909,407","409,576","2,344,391"
"АТ ""АБ ""РАДАБАНК""","38,484","311,587","1,537,684","726,808","2,170,135"
"АТ АКБ ""АРКАДА""","-1,046","1,039,408","741,831","520,989","1,956,250"
"АТ ""БАНК СІЧ""","14,432","225,472","1,512,347","617,091","1,954,798"
"АТ ""Місто Банк""","-7,168","191,549","1,067,460","244,089","1,915,085"
"АТ ""АКБ ""КОНКОРД""","13,099","295,549","1,414,998","507,796","1,912,617"
"АТ ""ПЕРШИЙ ІНВЕСТИЦІЙНИЙ БАНК""","25,185","358,098","1,230,521","397,793","1,710,349"
"АТ ""КІБ""","27,420","252,565","1,334,977","904,683","1,689,502"
"АТ ""БАНК ""ГРАНТ""","32,750","596,821","943,739","690,068","1,620,344"
"АТ ""АЛЬТБАНК""","11,635","241,810","1,212,582","151,056","1,504,498"
"АТ ""БАНК АВАНГАРД""","13,734","329,655","565,143","116,373","1,477,763"
"АТ ""МОТОР-БАНК""","18,987","338,537","976,626","363,264","1,347,272"
"АТ ""КОМІНВЕСТБАНК""","6,765","310,646","857,268","208,592","1,312,681"
"АТ ""БАНК 3/4""","22,362","529,167","361,266","223,626","1,202,832"
"АТ ""АП БАНК""","22,345","334,507","584,100","537,267","1,194,218"
"АТ ""АСВІО БАНК""","18,792","452,105","523,770","395,194","1,092,517"
"АТ ""МетаБанк""","14,385","319,941","692,937","388,982","1,074,643"
"АТ ""УКРБУДІНВЕСТБАНК""","14,338","224,310","705,963","338,949","1,040,633"
"АТ ""РВС БАНК""","13,551","229,257","704,813","161,288","1,022,922"
"АТ ""АЙБОКС БАНК""","11,077","245,314","579,339","292,931","964,064"
"АТ ""БАНК ""УКРАЇНСЬКИЙ КАПІТАЛ""","6,736","280,196","575,363","182,473","956,822"
"АТ ""ЮНЕКС БАНК""","26,180","271,999","408,828","205,449","877,550"
"АТ ""КБ ""ЗЕМЕЛЬНИЙ КАПІТАЛ""","16,719","266,577","512,049","591,747","796,627"
"Полікомбанк","10,319","266,323","396,339","297,876","751,638"
"АТ ""ЄПБ""","15,424","271,638","243,820","301,795","655,183"
"АТ ""СКАЙ БАНК""","1,694","168,787","255,046","109,554","576,350"
"АТ ""ОКСІ БАНК""","3,455","201,227","242,876","76,817","489,672"
"ПрАТ ""БАНК ФАМІЛЬНИЙ""","6,113","199,680","49,184","3,299","410,953"
"АТ ""БАНК ""ПОРТАЛ""","11,665","217,617","51,252","176,118","351,918"
"АТ ""Український банк реконструкції та розвитку""","4,959","191,080","68,741","0","348,856"
"АТ ""БАНК ТРАСТ-КАПІТАЛ""","5,238","242,109","33,015","73,477","299,331"
"АТ ""АЛЬПАРІ БАНК""","8,213","213,265","37,430","16,767","259,423"
"Банки з державною часткою","","","","",""
"АТ КБ ""ПриватБанк""","10,570,106","43,016,368","263,845,033","53,894,113","576,387,664"
"АТ ""Ощадбанк""","3,377,110","23,126,074","179,789,413","40,041,028","272,170,777"
"АТ ""Укрексімбанк""","509,470","6,926,865","92,321,849","14,715,812","226,728,764"
"АБ ""УКРГАЗБАНК""","1,442,353","9,366,074","131,691,232","19,035,380","156,672,936"
"ПАТ ""РОЗРАХУНКОВИЙ ЦЕНТР""","15,955","266,414","36,690","0","341,494"
"Усього по банках з державною часткою","15,914,994","82,701,795","667,684,216","127,686,334","1,232,301,636"
"Банки іноземних банківських груп","","","","",""
"АТ ""Райффайзен Банк Аваль""","3,724,727","15,139,561","78,921,595","33,182,781","102,345,214"
"АТ ""АЛЬФА-БАНК""","2,547,990","8,954,488","66,024,611","22,145,889","98,194,375"
"АТ ""УКРСИББАНК""","1,797,978","7,444,025","53,028,683","15,748,821","65,401,555"
"АТ ""СБЕРБАНК""","776,457","8,437,917","6,283,401","1,406,089","64,016,979"
"АТ ""ОТП БАНК""","1,778,729","8,355,611","38,554,817","17,458,951","54,070,273"
"АТ ""КРЕДІ АГРІКОЛЬ БАНК""","1,193,021","5,565,528","34,520,108","15,316,718","44,540,175"
"ПАТ ""Промінвестбанк""","195,996","2,935,870","43,912","865,040","40,550,493"
"АТ ""СІТІБАНК""","778,769","4,029,138","24,376,616","1,222,030","29,162,548"
"АТ ""ПРОКРЕДИТ БАНК""","637,495","4,199,541","16,034,092","11,105,264","25,868,107"
"АТ ""КРЕДОБАНК""","833,299","2,869,141","15,053,806","9,608,101","21,723,818"
"АТ ""ІНГ Банк Україна""","322,179","4,585,951","6,230,823","4,899,462","11,779,531"
"АТ ""Ідея Банк""","850,991","739,276","4,103,421","3,850,318","8,360,989"
"АТ ""ПРАВЕКС БАНК""","151,572","1,820,180","3,990,387","1,120,980","6,080,863"
"АТ ""ПІРЕУС БАНК МКБ""","102,327","644,444","2,163,189","713,527","3,274,181"
"АТ ""Дойче Банк ДБУ""","50,561","380,712","2,396,710","804,300","3,186,060"
"АТ ""БАНК ФОРВАРД""","140,930","355,801","1,805,948","1,309,518","2,407,724"
"АТ ""СЕБ КОРПОРАТИВНИЙ БАНК""","47,184","629,895","1,372,770","627,331","2,052,621"
"АТ ""КРЕДИТВЕСТ БАНК""","59,990","433,436","707,823","629,991","1,638,148"
"АТ ""КРЕДИТ ЄВРОПА БАНК""","39,338","419,190","326,260","137,727","1,030,389"
"АТ ""БТА БАНК""","14,286","314,489","95,302","22,924","477,984"
"Усього по банках іноземних банківських груп","16,043,816","78,254,192","356,034,275","142,175,762","586,162,028"
"Банки з приватним капіталом","","","","",""
"АТ ""ПУМБ""","3,319,877","8,378,116","47,941,515","23,049,152","68,349,915"
"Акціонерний банк ""Південний""","729,359","2,965,220","19,749,072","9,558,572","29,836,894"
"АТ ""УНІВЕРСАЛ БАНК""","1,002,501","1,980,563","19,397,563","10,862,258","25,197,060"
"АТ ""ТАСКОМБАНК""","630,494","2,722,256","16,168,906","6,548,877","21,231,506"
"ПАТ ""БАНК ВОСТОК""","346,090","952,833","10,933,325","3,311,669","13,201,090"
"АТ ""БАНК КРЕДИТ ДНІПРО""","185,523","1,032,064","7,464,939","2,027,442","12,179,865"
"АТ ""МЕГАБАНК""","41,432","768,278","6,267,524","2,367,345","9,871,615"
"АТ ""А - БАНК""","813,136","991,997","6,503,461","5,287,304","8,964,535"
"ПАТ ""МТБ БАНК""","146,033","785,687","5,426,355","1,773,753","6,948,846"
"АТ ""БАНК ІНВЕСТИЦІЙ ТА ЗАОЩАДЖЕНЬ""","107,858","586,828","4,204,819","1,546,144","5,463,439"
"АТ ""БАНК АЛЬЯНС""","82,783","517,114","3,795,038","1,835,496","4,615,717"
"АКБ ""ІНДУСТРІАЛБАНК""","140,408","1,328,476","2,449,288","1,121,463","4,564,455"
"АТ ""МІБ""","65,973","409,265","2,383,634","784,025","4,131,921"
"АТ ""КБ ""ГЛОБУС""","126,209","377,082","3,018,736","1,943,750","3,968,109"
"АТ АКБ ""Львів""","83,938","377,216","2,312,180","1,295,692","3,635,052"
"АБ ""КЛІРИНГОВИЙ ДІМ""","65,853","570,418","2,025,601","540,799","3,406,658"
"ПуАТ ""КБ ""АКОРДБАНК""","86,874","308,905","2,163,811","903,539","3,400,027"
"АТ ""Полтава-банк""","72,749","837,868","1,869,354","985,235","2,877,438"
"АТ ""АБ ""РАДАБАНК""","78,854","313,900","1,539,668","839,646","2,500,479"
"АТ ""КРИСТАЛБАНК""","57,980","269,335","1,715,503","434,829","2,236,585"
"АТ ""ПЕРШИЙ ІНВЕСТИЦІЙНИЙ БАНК""","54,491","361,138","1,661,015","406,493","2,154,690"
"АТ ""АКБ ""КОНКОРД""","21,223","305,060","1,592,950","487,162","2,122,850"
"АТ ""БАНК СІЧ""","33,925","250,617","1,430,799","603,177","1,940,678"
"АТ АКБ ""АРКАДА""","947","1,024,528","711,418","524,098","1,902,395"
"АТ ""БАНК АВАНГАРД""","39,082","330,758","529,895","124,849","1,817,187"
"АТ ""КІБ""","52,579","255,922","1,369,619","966,003","1,757,609"
"АТ ""АЛЬТБАНК""","20,449","236,603","1,437,599","142,546","1,730,155"
"АТ ""БАНК ""ГРАНТ""","63,364","591,819","983,128","690,122","1,709,791"
"АТ ""АЙБОКС БАНК""","22,102","274,617","1,138,189","359,015","1,591,233"
"АТ ""Місто Банк""","-11,528","243,806","915,519","238,944","1,554,055"
"АТ ""АП БАНК""","42,839","332,379","751,817","608,988","1,499,979"
"АТ ""КОМІНВЕСТБАНК""","11,495","310,672","910,844","222,609","1,315,285"
"АТ ""РВС БАНК""","24,392","224,896","987,141","180,815","1,286,614"
"АТ ""БАНК 3/4""","48,653","587,778","209,276","184,476","1,277,106"
"АТ ""МОТОР-БАНК""","36,659","318,430","908,520","367,547","1,274,730"
"АТ ""УКРБУДІНВЕСТБАНК""","27,652","225,611","801,360","383,192","1,137,491"
"АТ ""АСВІО БАНК""","37,308","454,164","527,570","375,502","1,101,850"
"АТ ""МетаБанк""","29,146","334,184","630,705","487,176","1,081,171"
"АТ ""БАНК ""УКРАЇНСЬКИЙ КАПІТАЛ""","12,649","276,119","500,982","221,841","957,899"
"АТ ""ЮНЕКС БАНК""","48,768","270,986","431,476","176,581","904,906"
"АТ ""КБ ""ЗЕМЕЛЬНИЙ КАПІТАЛ""","35,079","269,442","602,266","616,018","888,959"
"Полікомбанк","21,897","267,467","418,385","337,547","762,922"
"АТ ""СКАЙ БАНК""","2,037","166,321","376,772","76,162","715,142"
"АТ ""ЄПБ""","32,874","263,271","160,519","297,991","571,044"
"АТ ""ОКСІ БАНК""","8,227","200,657","269,485","98,437","515,909"
"ПрАТ ""БАНК ФАМІЛЬНИЙ""","11,679","200,513","60,266","3,789","421,467"
"АТ ""БАНК ""ПОРТАЛ""","22,605","218,239","51,721","189,723","355,786"
"АТ ""Український банк реконструкції та розвитку""","9,553","187,621","64,188","0","340,672"
"АТ ""БАНК ТРАСТ-КАПІТАЛ""","9,685","238,183","31,551","73,618","295,074"
"АТ ""АЛЬПАРІ БАНК""","15,908","212,290","33,317","16,539","253,377"
"Банки з державною часткою","","","","",""
"АТ КБ ""ПриватБанк""","15,847,591","49,882,369","281,899,049","53,909,231","600,145,190"
"АТ ""Ощадбанк""","5,668,737","24,240,635","182,615,982","36,919,668","266,290,180"
"АТ ""Укрексімбанк""","751,241","13,416,476","96,863,525","14,220,628","226,634,076"
"АБ ""УКРГАЗБАНК""","2,150,652","9,343,841","140,795,524","15,853,746","165,551,761"
"ПАТ ""РОЗРАХУНКОВИЙ ЦЕНТР""","21,007","266,516","39,576","0","325,168"
"Усього по банках з державною часткою","24,439,227","97,149,836","702,213,656","120,903,272","1,258,946,375"
"Банки іноземних банківських груп","","","","",""
"АТ ""Райффайзен Банк Аваль""","5,507,612","11,892,573","84,059,356","32,968,999","109,230,190"
"АТ ""АЛЬФА-БАНК""","3,766,354","9,295,768","67,713,835","23,923,080","101,640,099"
"АТ ""УКРСИББАНК""","2,565,394","7,784,244","57,211,121","18,578,830","69,464,840"
"АТ ""СБЕРБАНК""","1,152,818","9,022,691","5,625,603","984,797","66,507,808"
"АТ ""ОТП БАНК""","2,631,970","9,316,004","44,171,047","19,193,728","60,731,538"
"АТ ""КРЕДІ АГРІКОЛЬ БАНК""","1,775,245","5,841,672","39,529,030","18,359,488","49,521,871"
"АТ ""СІТІБАНК""","1,064,649","2,234,922","27,090,311","2,081,739","31,160,733"
"ПАТ ""Промінвестбанк""","283,209","2,503,023","33,305","823,536","28,855,125"
"АТ ""ПРОКРЕДИТ БАНК""","959,424","3,658,204","17,729,036","11,525,170","26,981,700"
"АТ ""КРЕДОБАНК""","1,299,236","3,025,105","16,031,233","10,572,591","23,966,824"
"АТ ""ІНГ Банк Україна""","416,900","3,888,558","8,808,213","4,995,092","14,672,126"
"АТ ""Ідея Банк""","1,258,046","784,223","3,675,246","3,760,025","8,057,465"
"АТ ""ПРАВЕКС БАНК""","224,216","1,770,791","4,784,214","1,595,336","6,874,555"
"АТ ""ПІРЕУС БАНК МКБ""","151,101","643,276","2,191,741","986,074","3,348,189"
"АТ ""Дойче Банк ДБУ""","66,410","377,455","2,360,058","215,963","2,792,358"
"АТ ""БАНК ФОРВАРД""","226,183","360,094","1,932,865","1,419,742","2,554,821"
"АТ ""СЕБ КОРПОРАТИВНИЙ БАНК""","66,518","635,569","1,819,240","744,356","2,497,659"
"АТ ""КРЕДИТВЕСТ БАНК""","87,285","440,234","836,472","540,759","1,864,173"
"АТ ""КРЕДИТ ЄВРОПА БАНК""","56,549","415,976","300,582","149,330","937,911"
"АТ ""БТА БАНК""","20,428","281,389","94,614","2,067","385,612"
"Усього по банках іноземних банківських груп","23,579,548","74,171,770","385,997,123","153,420,701","612,045,599"
"Банки з приватним капіталом","","","","",""
"АТ ""ПУМБ""","5,126,363","9,206,680","58,185,059","26,429,688","80,499,496"
"Акціонерний банк ""Південний""","1,159,041","3,109,391","21,962,237","9,246,926","32,325,197"
"АТ ""УНІВЕРСАЛ БАНК""","1,592,679","2,390,057","22,569,290","12,660,880","28,890,952"
"АТ ""ТАСКОМБАНК""","998,757","2,832,662","16,444,635","7,942,206","23,222,849"
"ПАТ ""БАНК ВОСТОК""","515,569","961,831","11,916,233","3,452,261","14,077,195"
"АТ ""БАНК КРЕДИТ ДНІПРО""","290,832","1,200,964","7,978,944","2,080,196","13,149,825"
"АТ ""МЕГАБАНК""","59,262","762,638","6,774,836","2,383,969","10,380,258"
"АТ ""А - БАНК""","1,293,277","1,087,396","7,121,544","5,835,224","9,959,092"
"ПАТ ""МТБ БАНК""","254,925","835,414","5,453,946","1,756,779","6,959,226"
"АТ ""БАНК АЛЬЯНС""","136,303","548,372","3,735,837","1,926,126","5,379,073"
"АТ ""БАНК ІНВЕСТИЦІЙ ТА ЗАОЩАДЖЕНЬ""","197,523","593,978","3,152,804","1,446,082","4,481,968"
"АТ ""МІБ""","112,251","411,082","2,713,089","638,276","4,416,179"
"АКБ ""ІНДУСТРІАЛБАНК""","207,230","1,381,060","2,429,464","1,131,858","4,389,040"
"ПуАТ ""КБ ""АКОРДБАНК""","152,471","314,059","3,097,038","1,384,328","4,374,813"
"АТ ""КБ ""ГЛОБУС""","203,312","444,736","2,879,231","1,820,740","4,286,802"
"АТ АКБ ""Львів""","134,216","396,354","2,669,512","1,633,607","4,153,645"
"АТ ""БАНК СІЧ""","54,146","233,458","2,673,644","1,257,919","3,498,020"
"АБ ""КЛІРИНГОВИЙ ДІМ""","95,124","578,951","1,913,014","807,233","3,377,234"
"АТ ""КРИСТАЛБАНК""","87,376","285,433","2,388,659","449,262","3,138,902"
"АТ ""Полтава-банк""","112,095","796,661","2,076,808","894,179","3,049,987"
"АТ ""АБ ""РАДАБАНК""","124,469","322,458","1,841,523","777,355","2,887,350"
"АТ ""КІБ""","86,817","270,323","1,910,810","985,143","2,461,683"
"АТ ""АКБ ""КОНКОРД""","36,610","323,524","1,657,951","538,393","2,341,723"
"АТ ""БАНК АВАНГАРД""","60,943","241,543","927,066","103,542","2,109,234"
"АТ ""АЙБОКС БАНК""","35,454","255,258","1,479,610","241,471","1,954,297"
"АТ ""РВС БАНК""","37,764","230,446","1,155,455","183,478","1,889,775"
"АТ ""БАНК ""ГРАНТ""","94,192","599,154","1,034,838","678,732","1,752,819"
"АТ ""АП БАНК""","63,793","332,565","954,411","607,621","1,710,839"
"АТ ""ПЕРШИЙ ІНВЕСТИЦІЙНИЙ БАНК""","80,970","364,258","1,193,195","409,026","1,692,470"
"АТ ""МОТОР-БАНК""","51,064","321,609","1,153,109","420,383","1,524,673"
"АТ ""Місто Банк""","-18,657","239,548","848,175","231,965","1,497,744"
"АТ ""КОМІНВЕСТБАНК""","15,342","310,742","1,018,837","228,101","1,417,399"
"АТ ""БАНК 3/4""","78,793","567,285","252,085","186,453","1,360,914"
"АТ ""АСВІО БАНК""","56,875","456,260","686,329","336,245","1,263,302"
"АТ ""УКРБУДІНВЕСТБАНК""","39,969","228,286","897,325","409,983","1,253,312"
"АТ ""АЛЬТБАНК""","32,196","246,768","827,082","160,612","1,241,898"
"АТ ""МетаБанк""","44,900","347,715","735,361","422,506","1,198,225"
"АТ ""БАНК ""УКРАЇНСЬКИЙ КАПІТАЛ""","20,390","277,415","599,039","299,625","1,116,791"
"АТ ""КБ ""ЗЕМЕЛЬНИЙ КАПІТАЛ""","53,157","272,563","603,199","667,244","893,517"
"Полікомбанк","32,603","265,645","465,262","326,223","813,855"
"АТ ""ЮНЕКС БАНК""","68,072","255,765","404,035","152,699","796,827"
"АТ ""СКАЙ БАНК""","4,650","171,240","351,442","103,685","775,666"
"АТ ""ЄПБ""","50,662","268,994","200,669","299,360","622,626"
"АТ ""ОКСІ БАНК""","16,970","198,013","345,463","130,836","612,206"
"АТ ""Український банк реконструкції та розвитку""","13,855","181,817","69,546","0","434,369"
"АТ ""БАНК ТРАСТ-КАПІТАЛ""","13,712","238,000","156,748","67,696","409,476"
"ПрАТ ""БАНК ФАМІЛЬНИЙ""","15,367","200,679","51,936","2,682","388,536"
"АТ ""БАНК ""ПОРТАЛ""","31,996","218,540","35,675","158,362","344,045"
"АТ ""АЛЬПАРІ БАНК""","22,607","210,522","27,893","40,629","245,112"
"Банки з державною часткою","","","","",""
"АТ КБ ""ПриватБанк""","21,601,641","52,823,921","309,536,166","52,930,873","566,179,320"
"АТ ""Ощадбанк""","7,986,004","21,935,199","184,886,207","38,257,014","268,759,303"
"АТ ""Укрексімбанк""","1,362,246","10,324,256","114,640,732","13,669,255","245,631,706"
"АБ ""УКРГАЗБАНК""","3,209,604","8,548,830","126,570,817","20,260,259","151,660,868"
"ПАТ ""РОЗРАХУНКОВИЙ ЦЕНТР""","25,989","265,025","98,554","0","384,825"
"Усього по банках з державною часткою","34,185,485","93,897,231","735,732,476","125,117,402","1,232,616,022"
"Банки іноземних банківських груп","","","","",""
"АТ ""Райффайзен Банк Аваль""","7,272,092","12,891,676","88,163,376","33,705,957","113,628,317"
"АТ ""АЛЬФА-БАНК""","5,058,422","9,622,971","74,122,065","29,244,472","112,494,706"
"АТ ""УКРСИББАНК""","3,347,971","8,090,933","62,247,489","18,548,921","74,638,059"
"АТ ""СБЕРБАНК""","1,455,732","9,401,633","5,603,769","734,506","64,534,401"
"АТ ""ОТП БАНК""","3,576,793","9,571,561","47,617,138","21,024,084","62,824,339"
"АТ ""КРЕДІ АГРІКОЛЬ БАНК""","2,419,200","6,100,741","42,352,597","20,734,273","52,053,779"
"ПАТ ""Промінвестбанк""","374,875","2,726,117","35,124","713,043","29,272,523"
"АТ ""СІТІБАНК""","1,339,974","2,481,533","25,062,859","2,037,325","28,005,375"
"АТ ""ПРОКРЕДИТ БАНК""","1,266,216","3,788,000","18,245,121","11,960,313","27,796,241"
"АТ ""КРЕДОБАНК""","1,788,683","3,121,583","18,110,379","10,815,768","26,173,800"
"АТ ""ІНГ Банк Україна""","519,012","3,952,415","7,343,167","4,436,116","12,174,522"
"АТ ""Ідея Банк""","1,675,083","932,042","3,763,957","3,790,052","7,901,810"
"АТ ""ПРАВЕКС БАНК""","302,351","1,719,698","5,422,864","2,193,270","7,723,779"
"АТ ""Дойче Банк ДБУ""","88,847","370,952","3,836,419","402,171","4,256,839"
"АТ ""ПІРЕУС БАНК МКБ""","204,000","652,834","2,452,283","1,235,375","4,151,050"
"АТ ""СЕБ КОРПОРАТИВНИЙ БАНК""","86,070","640,869","2,525,820","276,918","3,399,023"
"АТ ""БАНК ФОРВАРД""","314,958","366,386","1,901,707","1,458,890","2,623,354"
"АТ ""КРЕДИТВЕСТ БАНК""","114,177","447,276","1,070,604","570,755","2,085,030"
"АТ ""КРЕДИТ ЄВРОПА БАНК""","74,055","420,251","360,775","137,845","964,751"
"АТ ""БТА БАНК""","26,152","255,883","203,363","2,041","468,756"
"Усього по банках іноземних банківських груп","31,304,663","77,555,355","410,440,875","164,022,095","637,170,453"
"Банки з приватним капіталом","","","","",""
"АТ ""ПУМБ""","6,846,908","9,684,011","57,307,480","29,212,995","80,871,344"
"Акціонерний банк ""Південний""","1,551,678","3,103,240","26,598,611","8,794,133","37,387,365"
"АТ ""УНІВЕРСАЛ БАНК""","2,363,194","2,659,554","27,375,256","13,687,350","36,926,292"
"АТ ""ТАСКОМБАНК""","1,383,947","2,997,394","17,143,063","7,767,535","24,715,246"
"ПАТ ""БАНК ВОСТОК""","673,318","1,031,777","14,448,222","4,237,094","16,572,031"
"АТ ""БАНК КРЕДИТ ДНІПРО""","415,321","1,247,315","9,421,491","2,326,154","16,294,504"
"АТ ""А - БАНК""","1,821,455","1,234,595","7,588,332","6,455,612","10,878,823"
"АТ ""МЕГАБАНК""","105,578","868,736","7,142,470","2,864,635","10,804,492"
"ПАТ ""МТБ БАНК""","363,616","859,642","6,867,369","1,842,898","8,561,857"
"АТ ""БАНК АЛЬЯНС""","188,091","582,043","5,181,466","1,987,895","7,664,343"
