"Назва","Чистий процентний дохід/(Чисті процентні витрати)","Усього власного капіталу","Кошти клієнтів","Кредити та заборгованість клієнтів","Загальні активи, усього"
"АТ ""МетаБанк""","14,224","282,696","463,870","463,349","800,066"
"АТ ""АЙБОКС БАНК""","16,051","230,426","359,406","404,668","798,148"
"АТ ""КБ ""ЗЕМЕЛЬНИЙ КАПІТАЛ""","14,300","247,178","439,758","438,888","707,837"
"АТ ""АЛЬТБАНК""","13,034","235,109","438,366","134,351","696,102"
"Полікомбанк","9,558","260,809","351,624","305,046","693,140"
"АТ ""ЄПБ""","15,357","221,111","298,639","334,762","632,947"
"АТ ""СКАЙ БАНК""","320","214,856","320,613","201,068","577,336"
"АТ ""ОКСІ БАНК""","5,310","206,338","253,748","103,292","512,937"
"ПрАТ ""БАНК ФАМІЛЬНИЙ""","7,457","191,505","53,703","1,326","400,551"
"АТ ""БАНК ""ПОРТАЛ""","12,724","211,248","52,395","219,888","328,236"
"АТ ""БАНК ТРАСТ-КАПІТАЛ""","5,146","240,115","39,964","78,720","314,602"
"АТ ""ВЕРНУМ БАНК""","3,427","74,504","17,923","90,215","278,651"
"АТ ""АЛЬПАРІ БАНК""","9,319","223,371","29,893","33,639","264,360"
"Укр.банк реконстр.та розв.","6,162","199,018","217","0","233,806"
"Банки з державною часткою","","","","",""
"АТ КБ ""ПРИВАТБАНК""","9,825,783","37,904,900","219,324,555","53,483,756","522,421,687"
"АТ ""Ощадбанк""","2,942,766","18,204,337","165,532,873","37,569,292","288,339,944"
"АТ ""Укрексімбанк""","1,003,258","8,078,167","82,315,666","18,087,114","221,300,350"
"АБ ""УКРГАЗБАНК""","1,530,685","6,031,545","71,022,665","23,133,147","94,035,605"
"ПАТ ""РОЗРАХУНКОВИЙ ЦЕНТР""","20,804","257,644","84,657","0","356,136"
"Усього по банках з державною часткою","15,323,295","70,476,593","538,280,416","132,273,310","1,126,453,722"
"Банки іноземних банківських груп","","","","",""
